ID,name,gender,inTake,classID,mode
51701001,Bùi Công Tuấn,male,K21,17050101,gn
51701002,Dương Thị Hoa,female,K21,17050101,gn
51701003,Huỳnh Phương Trang,female,K21,17050101,gn
51701004,Nguyễn Công Minh,male,K21,17050101,gn
51701005,Đỗ Đức Bình,male,K21,17050101,gn
51701006,Đỗ Thị Anh,female,K21,17050101,gn
51701007,Đặng Thanh Phương,female,K21,17050101,gn
51701008,Ngô Quang Minh,male,K21,17050101,gn
51701009,Huỳnh Thị Yến,female,K21,17050101,gn
51701010,Hoàng Đức Bình,male,K21,17050101,gn
51701011,Phan Quang Minh,male,K21,17050101,gn
51701012,Nguyễn Văn Bình,male,K21,17050101,gn
51701013,Hồ Hữu Dương,male,K21,17050101,gn
51701014,Hoàng Thị Thảo,female,K21,17050101,gn
51701015,Đặng Minh Linh,female,K21,17050101,gn
51701016,Đặng Ngọc Phương,female,K21,17050101,gn
51701017,Huỳnh Thị Anh,female,K21,17050101,gn
51701018,Huỳnh Văn Quang,male,K21,17050101,gn
51701019,Phạm Hữu Bình,male,K21,17050101,gn
51701020,Huỳnh Đức Minh,male,K21,17050101,gn
51701021,Hoàng Phương Yến,female,K21,17050101,gn
51701022,Hồ Hải Minh,male,K21,17050101,gn
51701023,Nguyễn Phương Ngọc,female,K21,17050101,gn
51701024,Lê Công Quang,male,K21,17050101,gn
51701025,Lê Quang Văn,male,K21,17050101,gn
51701026,Phan Minh Chi,female,K21,17050101,gn
51701027,Ngô Ngọc Anh,female,K21,17050101,gn
51701028,Võ Văn Văn,male,K21,17050101,gn
51701029,Hồ Hữu Dương,male,K21,17050101,gn
51701030,Lê Thanh Phương,female,K21,17050101,gn
51701031,Bùi Kim Thảo,female,K21,17050101,gn
51701032,Ngô Quang Dương,male,K21,17050101,gn
51701033,Võ Hải Quý,male,K21,17050101,gn
51701034,Hoàng Thanh Chi,female,K21,17050101,gn
51701035,Đặng Hữu Quang,male,K21,17050101,gn
51701036,Vũ Phương Anh,female,K21,17050101,gn
51701037,Võ Công Quý,male,K21,17050101,gn
51701038,Hồ Hải Công,male,K21,17050101,gn
51701039,Dương Hữu Bình,male,K21,17050101,gn
51701040,Phan Kim Linh,female,K21,17050101,gn
51701041,Phạm Đức Quý,male,K21,17050101,gn
51701042,Lê Đức Quang,male,K21,17050101,gn
51701043,Dương Ngọc Trang,female,K21,17050101,gn
51701044,Võ Minh Anh,female,K21,17050101,gn
51701045,Hồ Ngọc Thảo,female,K21,17050101,gn
51701046,Vũ Kim Vân,female,K21,17050101,gn
51701047,Huỳnh Kim Trang,female,K21,17050101,gn
51701048,Vũ Kim Hoa,female,K21,17050101,gn
51701049,Dương Hữu Quang,male,K21,17050101,gn
51701050,Hồ Minh Anh,female,K21,17050101,gn
51701051,Nguyễn Minh Hoa,female,K21,17050102,gn
51701052,Đỗ Thị Phương,female,K21,17050102,gn
51701053,Nguyễn Kim Hoa,female,K21,17050102,gn
51701054,Bùi Thanh Vân,female,K21,17050102,gn
51701055,Bùi Hải Quý,male,K21,17050102,gn
51701056,Bùi Kim Chi,female,K21,17050102,gn
51701057,Bùi Phương Hoa,female,K21,17050102,gn
51701058,Võ Hữu Văn,male,K21,17050102,gn
51701059,Hồ Thanh Thảo,female,K21,17050102,gn
51701060,Dương Kim Ngọc,female,K21,17050102,gn
51701061,Trần Quang Quang,male,K21,17050102,gn
51701062,Hoàng Phương Chi,female,K21,17050102,gn
51701063,Nguyễn Văn Quang,male,K21,17050102,gn
51701064,Hồ Công Bình,male,K21,17050102,gn
51701065,Phạm Thị Linh,female,K21,17050102,gn
51701066,Võ Hải Hữu,male,K21,17050102,gn
51701067,Vũ Phương Hoa,female,K21,17050102,gn
51701068,Đặng Phương Ngọc,female,K21,17050102,gn
51701069,Đặng Văn Văn,male,K21,17050102,gn
51701070,Đỗ Công Hữu,male,K21,17050102,gn
51701071,Dương Ngọc Vân,female,K21,17050102,gn
51701072,Lê Đức Công,male,K21,17050102,gn
51701073,Phan Hữu Đức,male,K21,17050102,gn
51701074,Trần Hải Minh,male,K21,17050102,gn
51701075,Nguyễn Văn Bình,male,K21,17050102,gn
51701076,Vũ Đức Đức,male,K21,17050102,gn
51701077,Vũ Hải Công,male,K21,17050102,gn
51701078,Đỗ Hữu Dương,male,K21,17050102,gn
51701079,Phạm Thị Chi,female,K21,17050102,gn
51701080,Dương Ngọc Chi,female,K21,17050102,gn
51701081,Võ Quang Bình,male,K21,17050102,gn
51701082,Đặng Thanh Ngọc,female,K21,17050102,gn
51701083,Vũ Minh Phương,female,K21,17050102,gn
51701084,Trần Minh Anh,female,K21,17050102,gn
51701085,Vũ Văn Quang,male,K21,17050102,gn
51701086,Lê Đức Đức,male,K21,17050102,gn
51701087,Trần Phương Hoa,female,K21,17050102,gn
51701088,Phan Đức Quý,male,K21,17050102,gn
51701089,Dương Phương Yến,female,K21,17050102,gn
51701090,Đặng Văn Công,male,K21,17050102,gn
51701091,Ngô Phương Linh,female,K21,17050102,gn
51701092,Dương Hải Quý,male,K21,17050102,gn
51701093,Hoàng Công Hữu,male,K21,17050102,gn
51701094,Trần Hữu Tuấn,male,K21,17050102,gn
